State,County,County_State,Year,Poverty_Rate
ID,Ada County,"Ada County, ID",2010,13.8
ID,Ada County,"Ada County, ID",2011,12.3
ID,Ada County,"Ada County, ID",2012,11
ID,Ada County,"Ada County, ID",2013,10.1
ID,Ada County,"Ada County, ID",2014,11.9
ID,Ada County,"Ada County, ID",2015,9.2
CO,Adams County,"Adams County, CO",2010,13.1
CO,Adams County,"Adams County, CO",2011,16.5
CO,Adams County,"Adams County, CO",2012,14.9
CO,Adams County,"Adams County, CO",2013,13
CO,Adams County,"Adams County, CO",2014,12.8
CO,Adams County,"Adams County, CO",2015,13
IL,Adams County,"Adams County, IL",2010,12.6
IL,Adams County,"Adams County, IL",2011,17.5
IL,Adams County,"Adams County, IL",2012,11.8
IL,Adams County,"Adams County, IL",2013,12
IL,Adams County,"Adams County, IL",2014,12
IL,Adams County,"Adams County, IL",2015,15.7
PA,Adams County,"Adams County, PA",2010,10.2
PA,Adams County,"Adams County, PA",2011,16.9
PA,Adams County,"Adams County, PA",2012,20.3
PA,Adams County,"Adams County, PA",2013,16.1
PA,Adams County,"Adams County, PA",2014,22.2
PA,Adams County,"Adams County, PA",2015,20.3
SC,Aiken County,"Aiken County, SC",2010,17.9
SC,Aiken County,"Aiken County, SC",2011,10
SC,Aiken County,"Aiken County, SC",2012,10.8
SC,Aiken County,"Aiken County, SC",2013,13.3
SC,Aiken County,"Aiken County, SC",2014,13.1
SC,Aiken County,"Aiken County, SC",2015,11.2
FL,Alachua County,"Alachua County, FL",2010,26.9
FL,Alachua County,"Alachua County, FL",2011,24.4
FL,Alachua County,"Alachua County, FL",2012,27.7
FL,Alachua County,"Alachua County, FL",2013,26.8
FL,Alachua County,"Alachua County, FL",2014,22.2
FL,Alachua County,"Alachua County, FL",2015,17.3
NC,Alamance County,"Alamance County, NC",2010,18.9
NC,Alamance County,"Alamance County, NC",2011,15.1
NC,Alamance County,"Alamance County, NC",2012,18.1
NC,Alamance County,"Alamance County, NC",2013,7.3
NC,Alamance County,"Alamance County, NC",2014,7.4
NC,Alamance County,"Alamance County, NC",2015,15.4
CA,Alameda County,"Alameda County, CA",2010,13.5
CA,Alameda County,"Alameda County, CA",2011,13.1
CA,Alameda County,"Alameda County, CA",2012,13.1
CA,Alameda County,"Alameda County, CA",2013,12.9
CA,Alameda County,"Alameda County, CA",2014,12.5
CA,Alameda County,"Alameda County, CA",2015,11.4
NY,Albany County,"Albany County, NY",2010,13.7
NY,Albany County,"Albany County, NY",2011,17.1
NY,Albany County,"Albany County, NY",2012,28
NY,Albany County,"Albany County, NY",2013,12.2
NY,Albany County,"Albany County, NY",2014,17.6
NY,Albany County,"Albany County, NY",2015,27.1
VA,Albemarle County,"Albemarle County, VA",2010,9
VA,Albemarle County,"Albemarle County, VA",2011,14.1
VA,Albemarle County,"Albemarle County, VA",2012,16.6
VA,Albemarle County,"Albemarle County, VA",2013,31.1
VA,Albemarle County,"Albemarle County, VA",2014,33.4
VA,Albemarle County,"Albemarle County, VA",2015,12.3
VA,Alexandria city,"Alexandria city, VA",2010,9.9
VA,Alexandria city,"Alexandria city, VA",2011,8.8
VA,Alexandria city,"Alexandria city, VA",2012,25.4
VA,Alexandria city,"Alexandria city, VA",2013,12.1
VA,Alexandria city,"Alexandria city, VA",2014,11.4
VA,Alexandria city,"Alexandria city, VA",2015,6.8
MI,Allegan County,"Allegan County, MI",2010,16.3
MI,Allegan County,"Allegan County, MI",2011,11.6
MI,Allegan County,"Allegan County, MI",2012,20.5
MI,Allegan County,"Allegan County, MI",2013,20.4
MI,Allegan County,"Allegan County, MI",2014,21.7
MI,Allegan County,"Allegan County, MI",2015,9.7
MD,Allegany County,"Allegany County, MD",2010,17.3
MD,Allegany County,"Allegany County, MD",2011,9.7
MD,Allegany County,"Allegany County, MD",2012,18.1
MD,Allegany County,"Allegany County, MD",2013,16.1
MD,Allegany County,"Allegany County, MD",2014,19
MD,Allegany County,"Allegany County, MD",2015,13.1
PA,Allegheny County,"Allegheny County, PA",2010,12
PA,Allegheny County,"Allegheny County, PA",2011,13
PA,Allegheny County,"Allegheny County, PA",2012,18.3
PA,Allegheny County,"Allegheny County, PA",2013,21.5
PA,Allegheny County,"Allegheny County, PA",2014,18.4
PA,Allegheny County,"Allegheny County, PA",2015,22.6
IN,Allen County,"Allen County, IN",2010,13.5
IN,Allen County,"Allen County, IN",2011,19.6
IN,Allen County,"Allen County, IN",2012,12.9
IN,Allen County,"Allen County, IN",2013,15.2
IN,Allen County,"Allen County, IN",2014,14.7
IN,Allen County,"Allen County, IN",2015,7.9
OH,Allen County,"Allen County, OH",2010,19.3
OH,Allen County,"Allen County, OH",2011,9.7
OH,Allen County,"Allen County, OH",2012,24.9
OH,Allen County,"Allen County, OH",2013,9.7
OH,Allen County,"Allen County, OH",2014,10.8
OH,Allen County,"Allen County, OH",2015,18.2
AK,Anchorage Municipality,"Anchorage Municipality, AK",2010,9
AK,Anchorage Municipality,"Anchorage Municipality, AK",2011,7.6
AK,Anchorage Municipality,"Anchorage Municipality, AK",2012,8.4
AK,Anchorage Municipality,"Anchorage Municipality, AK",2013,6.7
AK,Anchorage Municipality,"Anchorage Municipality, AK",2014,9.7
AK,Anchorage Municipality,"Anchorage Municipality, AK",2015,8.4
SC,Anderson County,"Anderson County, SC",2010,19.7
SC,Anderson County,"Anderson County, SC",2011,18.4
SC,Anderson County,"Anderson County, SC",2012,10.7
SC,Anderson County,"Anderson County, SC",2013,11.7
SC,Anderson County,"Anderson County, SC",2014,12.1
SC,Anderson County,"Anderson County, SC",2015,25.8
TN,Anderson County,"Anderson County, TN",2010,15.2
TN,Anderson County,"Anderson County, TN",2011,16
TN,Anderson County,"Anderson County, TN",2012,16.5
TN,Anderson County,"Anderson County, TN",2013,17.6
TN,Anderson County,"Anderson County, TN",2014,18.8
TN,Anderson County,"Anderson County, TN",2015,17.3
ME,Androscoggin County,"Androscoggin County, ME",2010,14.8
ME,Androscoggin County,"Androscoggin County, ME",2011,19.9
ME,Androscoggin County,"Androscoggin County, ME",2012,24.4
ME,Androscoggin County,"Androscoggin County, ME",2013,21.7
ME,Androscoggin County,"Androscoggin County, ME",2014,21.6
ME,Androscoggin County,"Androscoggin County, ME",2015,13.3
TX,Angelina County,"Angelina County, TX",2010,17.9
TX,Angelina County,"Angelina County, TX",2011,18.7
TX,Angelina County,"Angelina County, TX",2012,21.7
TX,Angelina County,"Angelina County, TX",2013,9.9
TX,Angelina County,"Angelina County, TX",2014,13.9
TX,Angelina County,"Angelina County, TX",2015,13.5
MD,Anne Arundel County,"Anne Arundel County, MD",2010,6.4
MD,Anne Arundel County,"Anne Arundel County, MD",2011,18.9
MD,Anne Arundel County,"Anne Arundel County, MD",2012,11.6
MD,Anne Arundel County,"Anne Arundel County, MD",2013,9.4
MD,Anne Arundel County,"Anne Arundel County, MD",2014,11.5
MD,Anne Arundel County,"Anne Arundel County, MD",2015,18
MN,Anoka County,"Anoka County, MN",2010,7.1
MN,Anoka County,"Anoka County, MN",2011,25.9
MN,Anoka County,"Anoka County, MN",2012,16.5
MN,Anoka County,"Anoka County, MN",2013,16.7
MN,Anoka County,"Anoka County, MN",2014,14.5
MN,Anoka County,"Anoka County, MN",2015,15.5
AZ,Apache County,"Apache County, AZ",2010,34.2
AZ,Apache County,"Apache County, AZ",2011,37
AZ,Apache County,"Apache County, AZ",2012,33.2
AZ,Apache County,"Apache County, AZ",2013,40.1
AZ,Apache County,"Apache County, AZ",2014,33.6
AZ,Apache County,"Apache County, AZ",2015,39.4
CO,Arapahoe County,"Arapahoe County, CO",2010,11.7
CO,Arapahoe County,"Arapahoe County, CO",2011,12.1
CO,Arapahoe County,"Arapahoe County, CO",2012,12
CO,Arapahoe County,"Arapahoe County, CO",2013,12.6
CO,Arapahoe County,"Arapahoe County, CO",2014,11.4
CO,Arapahoe County,"Arapahoe County, CO",2015,9.1
VA,Arlington County,"Arlington County, VA",2010,7.3
VA,Arlington County,"Arlington County, VA",2011,15.6
VA,Arlington County,"Arlington County, VA",2012,8.4
VA,Arlington County,"Arlington County, VA",2013,20.1
VA,Arlington County,"Arlington County, VA",2014,20.4
VA,Arlington County,"Arlington County, VA",2015,21.6
PA,Armstrong County,"Armstrong County, PA",2010,13.4
PA,Armstrong County,"Armstrong County, PA",2011,13.6
PA,Armstrong County,"Armstrong County, PA",2012,18.5
PA,Armstrong County,"Armstrong County, PA",2013,20.5
PA,Armstrong County,"Armstrong County, PA",2014,20.3
PA,Armstrong County,"Armstrong County, PA",2015,19.6
ME,Aroostook County,"Aroostook County, ME",2010,12.9
ME,Aroostook County,"Aroostook County, ME",2011,16.4
ME,Aroostook County,"Aroostook County, ME",2012,18.5
ME,Aroostook County,"Aroostook County, ME",2013,10.9
ME,Aroostook County,"Aroostook County, ME",2014,22.8
ME,Aroostook County,"Aroostook County, ME",2015,24.6
LA,Ascension Parish,"Ascension Parish, LA",2010,14.8
LA,Ascension Parish,"Ascension Parish, LA",2011,19
LA,Ascension Parish,"Ascension Parish, LA",2012,22.7
LA,Ascension Parish,"Ascension Parish, LA",2013,21.2
LA,Ascension Parish,"Ascension Parish, LA",2014,27.7
LA,Ascension Parish,"Ascension Parish, LA",2015,18
OH,Ashtabula County,"Ashtabula County, OH",2010,14.9
OH,Ashtabula County,"Ashtabula County, OH",2011,13.5
OH,Ashtabula County,"Ashtabula County, OH",2012,19.7
OH,Ashtabula County,"Ashtabula County, OH",2013,10.7
OH,Ashtabula County,"Ashtabula County, OH",2014,11.6
OH,Ashtabula County,"Ashtabula County, OH",2015,9.7
NJ,Atlantic County,"Atlantic County, NJ",2010,14.3
NJ,Atlantic County,"Atlantic County, NJ",2011,11.3
NJ,Atlantic County,"Atlantic County, NJ",2012,11.3
NJ,Atlantic County,"Atlantic County, NJ",2013,11.2
NJ,Atlantic County,"Atlantic County, NJ",2014,12.1
NJ,Atlantic County,"Atlantic County, NJ",2015,9.2
VA,Augusta County,"Augusta County, VA",2010,9.5
VA,Augusta County,"Augusta County, VA",2011,13
VA,Augusta County,"Augusta County, VA",2012,13.1
VA,Augusta County,"Augusta County, VA",2013,8
VA,Augusta County,"Augusta County, VA",2014,8.2
VA,Augusta County,"Augusta County, VA",2015,31.8
AL,Baldwin County,"Baldwin County, AL",2010,13.1
AL,Baldwin County,"Baldwin County, AL",2011,13.1
AL,Baldwin County,"Baldwin County, AL",2012,14.1
AL,Baldwin County,"Baldwin County, AL",2013,14.5
AL,Baldwin County,"Baldwin County, AL",2014,12.7
AL,Baldwin County,"Baldwin County, AL",2015,12.8
MD,Baltimore city,"Baltimore city, MD",2010,25.6
MD,Baltimore city,"Baltimore city, MD",2011,18.6
MD,Baltimore city,"Baltimore city, MD",2012,14.2
MD,Baltimore city,"Baltimore city, MD",2013,11.4
MD,Baltimore city,"Baltimore city, MD",2014,14.2
MD,Baltimore city,"Baltimore city, MD",2015,8
MD,Baltimore County,"Baltimore County, MD",2010,8.1
MD,Baltimore County,"Baltimore County, MD",2011,5.7
MD,Baltimore County,"Baltimore County, MD",2012,17.1
MD,Baltimore County,"Baltimore County, MD",2013,17.8
MD,Baltimore County,"Baltimore County, MD",2014,18.2
MD,Baltimore County,"Baltimore County, MD",2015,6.8
ID,Bannock County,"Bannock County, ID",2010,14.2
ID,Bannock County,"Bannock County, ID",2011,13.3
ID,Bannock County,"Bannock County, ID",2012,10.3
ID,Bannock County,"Bannock County, ID",2013,9.5
ID,Bannock County,"Bannock County, ID",2014,13.2
ID,Bannock County,"Bannock County, ID",2015,10.2
MA,Barnstable County,"Barnstable County, MA",2010,11.3
MA,Barnstable County,"Barnstable County, MA",2011,25.1
MA,Barnstable County,"Barnstable County, MA",2012,16.4
MA,Barnstable County,"Barnstable County, MA",2013,16.1
MA,Barnstable County,"Barnstable County, MA",2014,16.7
MA,Barnstable County,"Barnstable County, MA",2015,11.7
GA,Barrow County,"Barrow County, GA",2010,10.1
GA,Barrow County,"Barrow County, GA",2011,18.4
GA,Barrow County,"Barrow County, GA",2012,16.1
GA,Barrow County,"Barrow County, GA",2013,14.8
GA,Barrow County,"Barrow County, GA",2014,11.9
GA,Barrow County,"Barrow County, GA",2015,16
IN,Bartholomew County,"Bartholomew County, IN",2010,13.3
IN,Bartholomew County,"Bartholomew County, IN",2011,17.3
IN,Bartholomew County,"Bartholomew County, IN",2012,16.1
IN,Bartholomew County,"Bartholomew County, IN",2013,16.3
IN,Bartholomew County,"Bartholomew County, IN",2014,17
IN,Bartholomew County,"Bartholomew County, IN",2015,15.6
GA,Bartow County,"Bartow County, GA",2010,12.7
GA,Bartow County,"Bartow County, GA",2011,21.4
GA,Bartow County,"Bartow County, GA",2012,16.4
GA,Bartow County,"Bartow County, GA",2013,21.7
GA,Bartow County,"Bartow County, GA",2014,13
GA,Bartow County,"Bartow County, GA",2015,18.4
TX,Bastrop County,"Bastrop County, TX",2010,16.1
TX,Bastrop County,"Bastrop County, TX",2011,6
TX,Bastrop County,"Bastrop County, TX",2012,17.5
TX,Bastrop County,"Bastrop County, TX",2013,12.4
TX,Bastrop County,"Bastrop County, TX",2014,15.7
TX,Bastrop County,"Bastrop County, TX",2015,20.4
FL,Bay County,"Bay County, FL",2010,14.2
FL,Bay County,"Bay County, FL",2011,12.6
FL,Bay County,"Bay County, FL",2012,16.2
FL,Bay County,"Bay County, FL",2013,18.1
FL,Bay County,"Bay County, FL",2014,14.7
FL,Bay County,"Bay County, FL",2015,21.7
MI,Bay County,"Bay County, MI",2010,16.2
MI,Bay County,"Bay County, MI",2011,12.5
MI,Bay County,"Bay County, MI",2012,11.8
MI,Bay County,"Bay County, MI",2013,13.3
MI,Bay County,"Bay County, MI",2014,11.5
MI,Bay County,"Bay County, MI",2015,19.8
SC,Beaufort County,"Beaufort County, SC",2010,12.6
SC,Beaufort County,"Beaufort County, SC",2011,9.2
SC,Beaufort County,"Beaufort County, SC",2012,9.4
SC,Beaufort County,"Beaufort County, SC",2013,10.8
SC,Beaufort County,"Beaufort County, SC",2014,10.4
SC,Beaufort County,"Beaufort County, SC",2015,12.5
PA,Beaver County,"Beaver County, PA",2010,16.1
PA,Beaver County,"Beaver County, PA",2011,8.1
PA,Beaver County,"Beaver County, PA",2012,17.1
PA,Beaver County,"Beaver County, PA",2013,18.8
PA,Beaver County,"Beaver County, PA",2014,17.4
PA,Beaver County,"Beaver County, PA",2015,19.4
VA,Bedford County,"Bedford County, VA",2010,10.6
VA,Bedford County,"Bedford County, VA",2011,10.9
VA,Bedford County,"Bedford County, VA",2012,14.3
VA,Bedford County,"Bedford County, VA",2013,14.4
VA,Bedford County,"Bedford County, VA",2014,14.7
VA,Bedford County,"Bedford County, VA",2015,19.9
TX,Bell County,"Bell County, TX",2010,13.2
TX,Bell County,"Bell County, TX",2011,13
TX,Bell County,"Bell County, TX",2012,7.5
TX,Bell County,"Bell County, TX",2013,16
TX,Bell County,"Bell County, TX",2014,19
TX,Bell County,"Bell County, TX",2015,12.8
OH,Belmont County,"Belmont County, OH",2010,14.5
OH,Belmont County,"Belmont County, OH",2011,15
OH,Belmont County,"Belmont County, OH",2012,24.4
OH,Belmont County,"Belmont County, OH",2013,21.4
OH,Belmont County,"Belmont County, OH",2014,25.5
OH,Belmont County,"Belmont County, OH",2015,11.2
AR,Benton County,"Benton County, AR",2010,9.4
AR,Benton County,"Benton County, AR",2011,12
AR,Benton County,"Benton County, AR",2012,14.2
AR,Benton County,"Benton County, AR",2013,11.7
AR,Benton County,"Benton County, AR",2014,12.2
AR,Benton County,"Benton County, AR",2015,11
OR,Benton County,"Benton County, OR",2010,21.2
OR,Benton County,"Benton County, OR",2011,9.4
OR,Benton County,"Benton County, OR",2012,19.5
OR,Benton County,"Benton County, OR",2013,21
OR,Benton County,"Benton County, OR",2014,18.3
OR,Benton County,"Benton County, OR",2015,11.4
WA,Benton County,"Benton County, WA",2010,12.9
WA,Benton County,"Benton County, WA",2011,26.9
WA,Benton County,"Benton County, WA",2012,16.1
WA,Benton County,"Benton County, WA",2013,9.3
WA,Benton County,"Benton County, WA",2014,9.5
WA,Benton County,"Benton County, WA",2015,5
NJ,Bergen County,"Bergen County, NJ",2010,6.8
NJ,Bergen County,"Bergen County, NJ",2011,13.4
NJ,Bergen County,"Bergen County, NJ",2012,6.2
NJ,Bergen County,"Bergen County, NJ",2013,9.6
NJ,Bergen County,"Bergen County, NJ",2014,8.7
NJ,Bergen County,"Bergen County, NJ",2015,12.1
SC,Berkeley County,"Berkeley County, SC",2010,15.2
SC,Berkeley County,"Berkeley County, SC",2011,21.4
SC,Berkeley County,"Berkeley County, SC",2012,10.9
SC,Berkeley County,"Berkeley County, SC",2013,10.6
SC,Berkeley County,"Berkeley County, SC",2014,9.9
SC,Berkeley County,"Berkeley County, SC",2015,14.1
WV,Berkeley County,"Berkeley County, WV",2010,13.3
WV,Berkeley County,"Berkeley County, WV",2011,14.9
WV,Berkeley County,"Berkeley County, WV",2012,12.6
WV,Berkeley County,"Berkeley County, WV",2013,12.4
WV,Berkeley County,"Berkeley County, WV",2014,11.2
WV,Berkeley County,"Berkeley County, WV",2015,14
PA,Berks County,"Berks County, PA",2010,14.1
PA,Berks County,"Berks County, PA",2011,13.6
PA,Berks County,"Berks County, PA",2012,12.3
PA,Berks County,"Berks County, PA",2013,18.5
PA,Berks County,"Berks County, PA",2014,18.8
PA,Berks County,"Berks County, PA",2015,15.9
MA,Berkshire County,"Berkshire County, MA",2010,12.1
MA,Berkshire County,"Berkshire County, MA",2011,9.2
MA,Berkshire County,"Berkshire County, MA",2012,24.8
MA,Berkshire County,"Berkshire County, MA",2013,23.3
MA,Berkshire County,"Berkshire County, MA",2014,23.6
MA,Berkshire County,"Berkshire County, MA",2015,13.4
NM,Bernalillo County,"Bernalillo County, NM",2010,16.6
NM,Bernalillo County,"Bernalillo County, NM",2011,7.8
NM,Bernalillo County,"Bernalillo County, NM",2012,6.2
NM,Bernalillo County,"Bernalillo County, NM",2013,18.4
NM,Bernalillo County,"Bernalillo County, NM",2014,13.9
NM,Bernalillo County,"Bernalillo County, NM",2015,17.6
MI,Berrien County,"Berrien County, MI",2010,16.8
MI,Berrien County,"Berrien County, MI",2011,12.4
MI,Berrien County,"Berrien County, MI",2012,14.2
MI,Berrien County,"Berrien County, MI",2013,14
MI,Berrien County,"Berrien County, MI",2014,11.1
MI,Berrien County,"Berrien County, MI",2015,12.2
TX,Bexar County,"Bexar County, TX",2010,16.9
TX,Bexar County,"Bexar County, TX",2011,18.1
TX,Bexar County,"Bexar County, TX",2012,17.4
TX,Bexar County,"Bexar County, TX",2013,21.8
TX,Bexar County,"Bexar County, TX",2014,22.9
TX,Bexar County,"Bexar County, TX",2015,11.1
GA,Bibb County,"Bibb County, GA",2010,26.2
GA,Bibb County,"Bibb County, GA",2011,24.4
GA,Bibb County,"Bibb County, GA",2012,27.2
GA,Bibb County,"Bibb County, GA",2013,29.2
GA,Bibb County,"Bibb County, GA",2014,27.9
GA,Bibb County,"Bibb County, GA",2015,11.2
IA,Black Hawk County,"Black Hawk County, IA",2010,18.8
IA,Black Hawk County,"Black Hawk County, IA",2011,22.2
IA,Black Hawk County,"Black Hawk County, IA",2012,19.9
IA,Black Hawk County,"Black Hawk County, IA",2013,25.2
IA,Black Hawk County,"Black Hawk County, IA",2014,19.9
IA,Black Hawk County,"Black Hawk County, IA",2015,17.8
PA,Blair County,"Blair County, PA",2010,12.3
PA,Blair County,"Blair County, PA",2011,12.6
PA,Blair County,"Blair County, PA",2012,19.9
PA,Blair County,"Blair County, PA",2013,21.8
PA,Blair County,"Blair County, PA",2014,14.1
PA,Blair County,"Blair County, PA",2015,16.5
TN,Blount County,"Blount County, TN",2010,13.5
TN,Blount County,"Blount County, TN",2011,10.7
TN,Blount County,"Blount County, TN",2012,20
TN,Blount County,"Blount County, TN",2013,23.6
TN,Blount County,"Blount County, TN",2014,32
TN,Blount County,"Blount County, TN",2015,13.4
ID,Bonneville County,"Bonneville County, ID",2010,13.2
ID,Bonneville County,"Bonneville County, ID",2011,18.5
ID,Bonneville County,"Bonneville County, ID",2012,12
ID,Bonneville County,"Bonneville County, ID",2013,14.7
ID,Bonneville County,"Bonneville County, ID",2014,11.2
ID,Bonneville County,"Bonneville County, ID",2015,9.7
KY,Boone County,"Boone County, KY",2010,11.2
KY,Boone County,"Boone County, KY",2011,26.1
KY,Boone County,"Boone County, KY",2012,16.7
KY,Boone County,"Boone County, KY",2013,17.2
KY,Boone County,"Boone County, KY",2014,14.7
KY,Boone County,"Boone County, KY",2015,15.1
MO,Boone County,"Boone County, MO",2010,20.5
MO,Boone County,"Boone County, MO",2011,7.7
MO,Boone County,"Boone County, MO",2012,19.4
MO,Boone County,"Boone County, MO",2013,26.2
MO,Boone County,"Boone County, MO",2014,20.2
MO,Boone County,"Boone County, MO",2015,25.1
LA,Bossier Parish,"Bossier Parish, LA",2010,14
LA,Bossier Parish,"Bossier Parish, LA",2011,10.4
LA,Bossier Parish,"Bossier Parish, LA",2012,20.2
LA,Bossier Parish,"Bossier Parish, LA",2013,18.4
LA,Bossier Parish,"Bossier Parish, LA",2014,18.6
LA,Bossier Parish,"Bossier Parish, LA",2015,22.9
CO,Boulder County,"Boulder County, CO",2010,14.7
CO,Boulder County,"Boulder County, CO",2011,14.1
CO,Boulder County,"Boulder County, CO",2012,14.5
CO,Boulder County,"Boulder County, CO",2013,13.9
CO,Boulder County,"Boulder County, CO",2014,14.1
CO,Boulder County,"Boulder County, CO",2015,12.9
TX,Bowie County,"Bowie County, TX",2010,17
TX,Bowie County,"Bowie County, TX",2011,11.8
TX,Bowie County,"Bowie County, TX",2012,7.1
TX,Bowie County,"Bowie County, TX",2013,18.3
TX,Bowie County,"Bowie County, TX",2014,18.6
TX,Bowie County,"Bowie County, TX",2015,13.7
TN,Bradley County,"Bradley County, TN",2010,20.1
TN,Bradley County,"Bradley County, TN",2011,11.8
TN,Bradley County,"Bradley County, TN",2012,18.2
TN,Bradley County,"Bradley County, TN",2013,19
TN,Bradley County,"Bradley County, TN",2014,20.8
TN,Bradley County,"Bradley County, TN",2015,21.1
TX,Brazoria County,"Brazoria County, TX",2010,12.2
TX,Brazoria County,"Brazoria County, TX",2011,15.8
TX,Brazoria County,"Brazoria County, TX",2012,9.5
TX,Brazoria County,"Brazoria County, TX",2013,10.2
TX,Brazoria County,"Brazoria County, TX",2014,11.1
TX,Brazoria County,"Brazoria County, TX",2015,20.1
TX,Brazos County,"Brazos County, TX",2010,32.5
TX,Brazos County,"Brazos County, TX",2011,17.9
TX,Brazos County,"Brazos County, TX",2012,21.2
TX,Brazos County,"Brazos County, TX",2013,18.1
TX,Brazos County,"Brazos County, TX",2014,16.3
TX,Brazos County,"Brazos County, TX",2015,15.8
FL,Brevard County,"Brevard County, FL",2010,13.4
FL,Brevard County,"Brevard County, FL",2011,14
FL,Brevard County,"Brevard County, FL",2012,14.7
FL,Brevard County,"Brevard County, FL",2013,15
FL,Brevard County,"Brevard County, FL",2014,14.4
FL,Brevard County,"Brevard County, FL",2015,16.8
MA,Bristol County,"Bristol County, MA",2010,12.9
MA,Bristol County,"Bristol County, MA",2011,13.4
MA,Bristol County,"Bristol County, MA",2012,10.3
MA,Bristol County,"Bristol County, MA",2013,9.1
MA,Bristol County,"Bristol County, MA",2014,7.7
MA,Bristol County,"Bristol County, MA",2015,22.9
NY,Bronx County,"Bronx County, NY",2010,30.2
NY,Bronx County,"Bronx County, NY",2011,17.7
NY,Bronx County,"Bronx County, NY",2012,14.3
NY,Bronx County,"Bronx County, NY",2013,42.4
NY,Bronx County,"Bronx County, NY",2014,37.9
NY,Bronx County,"Bronx County, NY",2015,13.7
NY,Broome County,"Broome County, NY",2010,16.9
NY,Broome County,"Broome County, NY",2011,23.1
NY,Broome County,"Broome County, NY",2012,20.7
NY,Broome County,"Broome County, NY",2013,21.9
NY,Broome County,"Broome County, NY",2014,20.4
NY,Broome County,"Broome County, NY",2015,36.2
FL,Broward County,"Broward County, FL",2010,14.6
FL,Broward County,"Broward County, FL",2011,14.8
FL,Broward County,"Broward County, FL",2012,15.1
FL,Broward County,"Broward County, FL",2013,15.1
FL,Broward County,"Broward County, FL",2014,14.4
FL,Broward County,"Broward County, FL",2015,13.2
WI,Brown County,"Brown County, WI",2010,9.8
WI,Brown County,"Brown County, WI",2011,17.2
WI,Brown County,"Brown County, WI",2012,14.4
WI,Brown County,"Brown County, WI",2013,12.8
WI,Brown County,"Brown County, WI",2014,12
WI,Brown County,"Brown County, WI",2015,9.2
NC,Brunswick County,"Brunswick County, NC",2010,16.9
NC,Brunswick County,"Brunswick County, NC",2011,13.5
NC,Brunswick County,"Brunswick County, NC",2012,13.4
NC,Brunswick County,"Brunswick County, NC",2013,20.1
NC,Brunswick County,"Brunswick County, NC",2014,14.6
NC,Brunswick County,"Brunswick County, NC",2015,7.6
MO,Buchanan County,"Buchanan County, MO",2010,15.5
MO,Buchanan County,"Buchanan County, MO",2011,21
MO,Buchanan County,"Buchanan County, MO",2012,15.2
MO,Buchanan County,"Buchanan County, MO",2013,17.2
MO,Buchanan County,"Buchanan County, MO",2014,20
MO,Buchanan County,"Buchanan County, MO",2015,19.5
PA,Bucks County,"Bucks County, PA",2010,6.2
PA,Bucks County,"Bucks County, PA",2011,12.2
PA,Bucks County,"Bucks County, PA",2012,9.7
PA,Bucks County,"Bucks County, PA",2013,16.9
PA,Bucks County,"Bucks County, PA",2014,18.6
PA,Bucks County,"Bucks County, PA",2015,15.7
KY,Bullitt County,"Bullitt County, KY",2010,9.9
KY,Bullitt County,"Bullitt County, KY",2011,8.7
KY,Bullitt County,"Bullitt County, KY",2012,23.4
KY,Bullitt County,"Bullitt County, KY",2013,25.4
KY,Bullitt County,"Bullitt County, KY",2014,24.2
KY,Bullitt County,"Bullitt County, KY",2015,14.2
GA,Bulloch County,"Bulloch County, GA",2010,35.3
GA,Bulloch County,"Bulloch County, GA",2011,32.7
GA,Bulloch County,"Bulloch County, GA",2012,32.9
GA,Bulloch County,"Bulloch County, GA",2013,32.4
GA,Bulloch County,"Bulloch County, GA",2014,33.7
GA,Bulloch County,"Bulloch County, GA",2015,26.4
NC,Buncombe County,"Buncombe County, NC",2010,16.8
NC,Buncombe County,"Buncombe County, NC",2011,9.9
NC,Buncombe County,"Buncombe County, NC",2012,10.9
NC,Buncombe County,"Buncombe County, NC",2013,20.3
NC,Buncombe County,"Buncombe County, NC",2014,19.8
NC,Buncombe County,"Buncombe County, NC",2015,17.9
NC,Burke County,"Burke County, NC",2010,18.7
NC,Burke County,"Burke County, NC",2011,18.6
NC,Burke County,"Burke County, NC",2012,12.4
NC,Burke County,"Burke County, NC",2013,11.3
NC,Burke County,"Burke County, NC",2014,13.3
NC,Burke County,"Burke County, NC",2015,22.3
ND,Burleigh County,"Burleigh County, ND",2010,9.6
ND,Burleigh County,"Burleigh County, ND",2011,23.4
ND,Burleigh County,"Burleigh County, ND",2012,17.7
ND,Burleigh County,"Burleigh County, ND",2013,18.7
ND,Burleigh County,"Burleigh County, ND",2014,17.8
ND,Burleigh County,"Burleigh County, ND",2015,18.6
NJ,Burlington County,"Burlington County, NJ",2010,5.1
NJ,Burlington County,"Burlington County, NJ",2011,6.4
NJ,Burlington County,"Burlington County, NJ",2012,14.3
NJ,Burlington County,"Burlington County, NJ",2013,9
NJ,Burlington County,"Burlington County, NJ",2014,9.7
NJ,Burlington County,"Burlington County, NJ",2015,8
KS,Butler County,"Butler County, KS",2010,6.7
KS,Butler County,"Butler County, KS",2011,17.3
KS,Butler County,"Butler County, KS",2012,21.7
KS,Butler County,"Butler County, KS",2013,23.5
KS,Butler County,"Butler County, KS",2014,22.5
KS,Butler County,"Butler County, KS",2015,11.5
OH,Butler County,"Butler County, OH",2010,13.6
