County_State,County,State,Median_HV,Median_HI
"Knox County, Indiana",Knox County, Indiana,83100,50073
"Kosciusko County, Indiana",Kosciusko County, Indiana,127550,55862.5
"LaGrange County, Indiana",LaGrange County, Indiana,156250,52059
"Lake County, Indiana",Lake County, Indiana,128100,58248.5
"LaPorte County, Indiana",LaPorte County, Indiana,121800,55714
"Lawrence County, Indiana",Lawrence County, Indiana,98850,50269.5
"Madison County, Indiana",Madison County, Indiana,88050,51328.5
"Marion County, Indiana",Marion County, Indiana,112000,54511
"Marshall County, Indiana",Marshall County, Indiana,119150,50807.5
"Martin County, Indiana",Martin County, Indiana,89450,50827.5
"Miami County, Indiana",Miami County, Indiana,83250,49794
"Monroe County, Indiana",Monroe County, Indiana,159000,62139
"Montgomery County, Indiana",Montgomery County, Indiana,110300,55022.5
"Morgan County, Indiana",Morgan County, Indiana,137850,61236.5
"Newton County, Indiana",Newton County, Indiana,111900,50281
"Noble County, Indiana",Noble County, Indiana,110300,54222
"Ohio County, Indiana",Ohio County, Indiana,126600,51977
"Orange County, Indiana",Orange County, Indiana,86000,44415.5
"Owen County, Indiana",Owen County, Indiana,107250,46305.5
"Parke County, Indiana",Parke County, Indiana,86650,45862
"Perry County, Indiana",Perry County, Indiana,98150,50736
"Pike County, Indiana",Pike County, Indiana,88600,51698
"Porter County, Indiana",Porter County, Indiana,159250,67359
"Posey County, Indiana",Posey County, Indiana,130700,62260.5
"Pulaski County, Indiana",Pulaski County, Indiana,93750,48380.5
"Putnam County, Indiana",Putnam County, Indiana,119150,53616.5
"Randolph County, Indiana",Randolph County, Indiana,77450,46175
"Ripley County, Indiana",Ripley County, Indiana,127650,55068
"Rush County, Indiana",Rush County, Indiana,97950,53329.5
"St. Joseph County, Indiana",St. Joseph County, Indiana,111500,54433.5
"Scott County, Indiana",Scott County, Indiana,97150,49010
"Shelby County, Indiana",Shelby County, Indiana,115900,58777
"Spencer County, Indiana",Spencer County, Indiana,114150,58252
"Starke County, Indiana",Starke County, Indiana,96850,44832
"Steuben County, Indiana",Steuben County, Indiana,128850,53307
"Sullivan County, Indiana",Sullivan County, Indiana,74450,50208
"Switzerland County, Indiana",Switzerland County, Indiana,111350,44345.5
"Tippecanoe County, Indiana",Tippecanoe County, Indiana,133550,63354.5
"Tipton County, Indiana",Tipton County, Indiana,107550,56116.5
"Union County, Indiana",Union County, Indiana,100200,49262.5
"Vanderburgh County, Indiana",Vanderburgh County, Indiana,113000,54056
"Vermillion County, Indiana",Vermillion County, Indiana,74400,46080
"Vigo County, Indiana",Vigo County, Indiana,88050,50850.5
"Wabash County, Indiana",Wabash County, Indiana,92750,49198
"Warren County, Indiana",Warren County, Indiana,106800,61903
"Warrick County, Indiana",Warrick County, Indiana,147900,66765
"Washington County, Indiana",Washington County, Indiana,101550,45849
"Wayne County, Indiana",Wayne County, Indiana,91350,48210.5
"Wells County, Indiana",Wells County, Indiana,115200,55994.5
"White County, Indiana",White County, Indiana,103850,54167.5
"Whitley County, Indiana",Whitley County, Indiana,125750,56966
"Adair County, Iowa",Adair County, Iowa,89150,52251.5
"Adams County, Iowa",Adams County, Iowa,88100,52798.5
"Allamakee County, Iowa",Allamakee County, Iowa,111200,52714
"Appanoose County, Iowa",Appanoose County, Iowa,78200,49976
"Audubon County, Iowa",Audubon County, Iowa,65500,53366
"Benton County, Iowa",Benton County, Iowa,138400,65092
"Black Hawk County, Iowa",Black Hawk County, Iowa,128400,57965.5
"Boone County, Iowa",Boone County, Iowa,117300,58282
"Bremer County, Iowa",Bremer County, Iowa,149700,67365
"Buchanan County, Iowa",Buchanan County, Iowa,126800,60132
"Buena Vista County, Iowa",Buena Vista County, Iowa,102100,56657
"Butler County, Iowa",Butler County, Iowa,107250,56553.5
"Calhoun County, Iowa",Calhoun County, Iowa,76200,52222
"Carroll County, Iowa",Carroll County, Iowa,111700,59794
"Cass County, Iowa",Cass County, Iowa,89650,51070
"Cedar County, Iowa",Cedar County, Iowa,132550,60621.5
"Cerro Gordo County, Iowa",Cerro Gordo County, Iowa,114000,54235.5
"Cherokee County, Iowa",Cherokee County, Iowa,84150,58166.5
"Chickasaw County, Iowa",Chickasaw County, Iowa,103500,55583.5
"Clarke County, Iowa",Clarke County, Iowa,93700,52805
"Clay County, Iowa",Clay County, Iowa,107900,57132
"Clayton County, Iowa",Clayton County, Iowa,106500,55310.5
"Clinton County, Iowa",Clinton County, Iowa,108950,58856.5
"Crawford County, Iowa",Crawford County, Iowa,90850,56739
"Dallas County, Iowa",Dallas County, Iowa,180300,77076.5
"Davis County, Iowa",Davis County, Iowa,100850,54210
"Decatur County, Iowa",Decatur County, Iowa,79600,52011
"Delaware County, Iowa",Delaware County, Iowa,122850,61813
"Des Moines County, Iowa",Des Moines County, Iowa,98700,53214
"Dickinson County, Iowa",Dickinson County, Iowa,163850,65952
"Dubuque County, Iowa",Dubuque County, Iowa,148250,62680
"Emmet County, Iowa",Emmet County, Iowa,83350,56169.5
"Fayette County, Iowa",Fayette County, Iowa,87350,50926.5
"Floyd County, Iowa",Floyd County, Iowa,96050,52838.5
"Franklin County, Iowa",Franklin County, Iowa,85400,55224.5
"Fremont County, Iowa",Fremont County, Iowa,96500,60371
"Greene County, Iowa",Greene County, Iowa,85350,54238.5
"Grundy County, Iowa",Grundy County, Iowa,125250,61042.5
"Guthrie County, Iowa",Guthrie County, Iowa,102700,57142
"Hamilton County, Iowa",Hamilton County, Iowa,92100,53500.5
"Hancock County, Iowa",Hancock County, Iowa,93250,58290.5
"Hardin County, Iowa",Hardin County, Iowa,88250,59232
"Harrison County, Iowa",Harrison County, Iowa,105600,61684
"Henry County, Iowa",Henry County, Iowa,104500,56432.5
"Howard County, Iowa",Howard County, Iowa,93750,54422
"Humboldt County, Iowa",Humboldt County, Iowa,90300,56328.5
"Ida County, Iowa",Ida County, Iowa,79850,51566.5
"Iowa County, Iowa",Iowa County, Iowa,135950,64520.5
"Jackson County, Iowa",Jackson County, Iowa,114200,56597
"Jasper County, Iowa",Jasper County, Iowa,116800,61699
"Jefferson County, Iowa",Jefferson County, Iowa,101750,53621.5
"Johnson County, Iowa",Johnson County, Iowa,185600,75720.5
"Jones County, Iowa",Jones County, Iowa,126900,60986
"Keokuk County, Iowa",Keokuk County, Iowa,76600,49717.5
"Kossuth County, Iowa",Kossuth County, Iowa,91100,57807.5
"Lee County, Iowa",Lee County, Iowa,84700,51823.5
"Linn County, Iowa",Linn County, Iowa,144750,65809.5
"Louisa County, Iowa",Louisa County, Iowa,101550,55910.5
"Lucas County, Iowa",Lucas County, Iowa,83100,48469.5
"Lyon County, Iowa",Lyon County, Iowa,110550,59388
"Madison County, Iowa",Madison County, Iowa,151500,66969
"Mahaska County, Iowa",Mahaska County, Iowa,105650,56045.5
"Marion County, Iowa",Marion County, Iowa,133650,60938.5
"Marshall County, Iowa",Marshall County, Iowa,104250,56791
"Mills County, Iowa",Mills County, Iowa,144600,65701.5
"Mitchell County, Iowa",Mitchell County, Iowa,108650,56007
"Monona County, Iowa",Monona County, Iowa,75450,50760.5
"Monroe County, Iowa",Monroe County, Iowa,105800,55577.5
"Montgomery County, Iowa",Montgomery County, Iowa,76950,48800
"Muscatine County, Iowa",Muscatine County, Iowa,124150,61876.5
"O'Brien County, Iowa",O'Brien County, Iowa,103100,62337.5
"Osceola County, Iowa",Osceola County, Iowa,83600,56877.5
"Page County, Iowa",Page County, Iowa,82500,52370.5
"Palo Alto County, Iowa",Palo Alto County, Iowa,85200,55364
"Plymouth County, Iowa",Plymouth County, Iowa,138000,64633
"Pocahontas County, Iowa",Pocahontas County, Iowa,65200,53854
"Polk County, Iowa",Polk County, Iowa,152950,68783
"Pottawattamie County, Iowa",Pottawattamie County, Iowa,124900,60200
"Poweshiek County, Iowa",Poweshiek County, Iowa,128150,59683
"Ringgold County, Iowa",Ringgold County, Iowa,86250,51319
"Sac County, Iowa",Sac County, Iowa,81250,55014.5
"Scott County, Iowa",Scott County, Iowa,145100,64877
"Shelby County, Iowa",Shelby County, Iowa,109250,58653.5
"Sioux County, Iowa",Sioux County, Iowa,138550,65012
"Story County, Iowa",Story County, Iowa,165050,73772.5
"Tama County, Iowa",Tama County, Iowa,103000,61046
"Taylor County, Iowa",Taylor County, Iowa,70200,50815
"Union County, Iowa",Union County, Iowa,87850,50846
"Van Buren County, Iowa",Van Buren County, Iowa,76400,51254
"Wapello County, Iowa",Wapello County, Iowa,80200,51559.5
"Warren County, Iowa",Warren County, Iowa,157050,68469.5
"Washington County, Iowa",Washington County, Iowa,122800,62669
"Wayne County, Iowa",Wayne County, Iowa,69500,50587
"Webster County, Iowa",Webster County, Iowa,85600,53567
"Winnebago County, Iowa",Winnebago County, Iowa,93750,53364
"Winneshiek County, Iowa",Winneshiek County, Iowa,157750,59073
"Woodbury County, Iowa",Woodbury County, Iowa,99450,56492
"Worth County, Iowa",Worth County, Iowa,98200,56335.5
"Wright County, Iowa",Wright County, Iowa,72800,53506.5
"Allen County, Kansas",Allen County, Kansas,69250,49732.5
"Anderson County, Kansas",Anderson County, Kansas,87250,51140
"Atchison County, Kansas",Atchison County, Kansas,90900,49289
"Barber County, Kansas",Barber County, Kansas,79900,59382
"Barton County, Kansas",Barton County, Kansas,81350,57162
"Bourbon County, Kansas",Bourbon County, Kansas,78400,51914.5
"Brown County, Kansas",Brown County, Kansas,85500,50382
"Butler County, Kansas",Butler County, Kansas,125100,66249.5
"Chase County, Kansas",Chase County, Kansas,74550,49811.5
"Chautauqua County, Kansas",Chautauqua County, Kansas,49450,45265.5
"Cherokee County, Kansas",Cherokee County, Kansas,73350,48887
"Cheyenne County, Kansas",Cheyenne County, Kansas,83050,51820.5
"Clark County, Kansas",Clark County, Kansas,61700,53887
"Clay County, Kansas",Clay County, Kansas,95800,58392
"Cloud County, Kansas",Cloud County, Kansas,73000,49945.5
"Coffey County, Kansas",Coffey County, Kansas,100600,63187.5
"Comanche County, Kansas",Comanche County, Kansas,62150,53071.5
"Cowley County, Kansas",Cowley County, Kansas,80250,53425.5
"Crawford County, Kansas",Crawford County, Kansas,85150,49399
"Decatur County, Kansas",Decatur County, Kansas,56150,44273
"Dickinson County, Kansas",Dickinson County, Kansas,105450,56649.5
"Doniphan County, Kansas",Doniphan County, Kansas,89450,53856
"Douglas County, Kansas",Douglas County, Kansas,179700,70481
"Edwards County, Kansas",Edwards County, Kansas,57700,53407.5
"Elk County, Kansas",Elk County, Kansas,50550,46825.5
"Ellis County, Kansas",Ellis County, Kansas,148950,60072.5
"Ellsworth County, Kansas",Ellsworth County, Kansas,78350,55462.5
"Finney County, Kansas",Finney County, Kansas,111400,58413.5
"Ford County, Kansas",Ford County, Kansas,96800,59608.5
"Franklin County, Kansas",Franklin County, Kansas,118400,57365
"Geary County, Kansas",Geary County, Kansas,125350,55580.5
"Gove County, Kansas",Gove County, Kansas,76850,51461.5
"Graham County, Kansas",Graham County, Kansas,67800,48380.5
"Grant County, Kansas",Grant County, Kansas,97600,63752.5
"Gray County, Kansas",Gray County, Kansas,109850,66551.5
"Greeley County, Kansas",Greeley County, Kansas,85750,50558.5
"Greenwood County, Kansas",Greenwood County, Kansas,62900,47710.5
"Hamilton County, Kansas",Hamilton County, Kansas,86200,46401.5
"Harper County, Kansas",Harper County, Kansas,67800,51083
"Harvey County, Kansas",Harvey County, Kansas,114800,61476
"Haskell County, Kansas",Haskell County, Kansas,117350,67950
"Hodgeman County, Kansas",Hodgeman County, Kansas,83600,66276
"Jackson County, Kansas",Jackson County, Kansas,117750,60636
"Jefferson County, Kansas",Jefferson County, Kansas,125800,61440
"Jewell County, Kansas",Jewell County, Kansas,53800,43040
"Johnson County, Kansas",Johnson County, Kansas,211850,86539.5
"Kearny County, Kansas",Kearny County, Kansas,94150,51992.5
"Kingman County, Kansas",Kingman County, Kansas,87450,58358
"Kiowa County, Kansas",Kiowa County, Kansas,118900,57208
"Labette County, Kansas",Labette County, Kansas,69750,52442.5
"Lane County, Kansas",Lane County, Kansas,68450,58613.5
"Leavenworth County, Kansas",Leavenworth County, Kansas,162250,69450
"Lincoln County, Kansas",Lincoln County, Kansas,66300,51199.5
"Linn County, Kansas",Linn County, Kansas,92000,51867.5
"Logan County, Kansas",Logan County, Kansas,81000,56882.5
"Lyon County, Kansas",Lyon County, Kansas,90650,53277
"McPherson County, Kansas",McPherson County, Kansas,130400,61893
"Marion County, Kansas",Marion County, Kansas,80600,52613
"Marshall County, Kansas",Marshall County, Kansas,89100,57440.5
"Meade County, Kansas",Meade County, Kansas,86300,59531
"Miami County, Kansas",Miami County, Kansas,162450,66895
"Mitchell County, Kansas",Mitchell County, Kansas,88350,60332
"Montgomery County, Kansas",Montgomery County, Kansas,68850,49699.5
"Morris County, Kansas",Morris County, Kansas,88200,53478.5
"Morton County, Kansas",Morton County, Kansas,99200,55480
"Nemaha County, Kansas",Nemaha County, Kansas,108350,57249.5
"Neosho County, Kansas",Neosho County, Kansas,69300,52770.5
"Ness County, Kansas",Ness County, Kansas,68100,55628.5
"Norton County, Kansas",Norton County, Kansas,72600,54326
"Osage County, Kansas",Osage County, Kansas,96050,56265.5
"Osborne County, Kansas",Osborne County, Kansas,61000,49946.5
"Ottawa County, Kansas",Ottawa County, Kansas,90900,54795.5
"Pawnee County, Kansas",Pawnee County, Kansas,77350,54759.5
"Phillips County, Kansas",Phillips County, Kansas,72150,51352.5
"Pottawatomie County, Kansas",Pottawatomie County, Kansas,154350,62782
"Pratt County, Kansas",Pratt County, Kansas,83950,57917.5
"Rawlins County, Kansas",Rawlins County, Kansas,80450,55068
"Reno County, Kansas",Reno County, Kansas,93500,54581.5
"Republic County, Kansas",Republic County, Kansas,52050,44924.5
"Rice County, Kansas",Rice County, Kansas,71550,57194
"Riley County, Kansas",Riley County, Kansas,176700,73269
"Rooks County, Kansas",Rooks County, Kansas,70450,50581.5
"Rush County, Kansas",Rush County, Kansas,64100,49245.5
"Russell County, Kansas",Russell County, Kansas,73700,47246
"Saline County, Kansas",Saline County, Kansas,120350,55640.5
"Scott County, Kansas",Scott County, Kansas,125250,63823.5
"Sedgwick County, Kansas",Sedgwick County, Kansas,120150,61746.5
"Seward County, Kansas",Seward County, Kansas,83350,57896.5
"Shawnee County, Kansas",Shawnee County, Kansas,119700,63247
"Sheridan County, Kansas",Sheridan County, Kansas,91450,60729.5
"Sherman County, Kansas",Sherman County, Kansas,71000,50481
"Smith County, Kansas",Smith County, Kansas,66350,50174
"Stafford County, Kansas",Stafford County, Kansas,64950,52839.5
"Stanton County, Kansas",Stanton County, Kansas,72350,49841
"Stevens County, Kansas",Stevens County, Kansas,101950,62065.5
"Sumner County, Kansas",Sumner County, Kansas,83150,54637
"Thomas County, Kansas",Thomas County, Kansas,105100,60394.5
"Trego County, Kansas",Trego County, Kansas,91850,59620.5
"Wabaunsee County, Kansas",Wabaunsee County, Kansas,111900,52902.5
"Wallace County, Kansas",Wallace County, Kansas,78200,63680.5
"Washington County, Kansas",Washington County, Kansas,71300,52553
"Wichita County, Kansas",Wichita County, Kansas,81650,64007
"Wilson County, Kansas",Wilson County, Kansas,61350,46269
"Woodson County, Kansas",Woodson County, Kansas,49500,44032.5
"Wyandotte County, Kansas",Wyandotte County, Kansas,86650,49297.5
"Adair County, Kentucky",Adair County, Kentucky,83700,43830.5
"Allen County, Kentucky",Allen County, Kentucky,95250,48106
"Anderson County, Kentucky",Anderson County, Kentucky,134100,55835
"Ballard County, Kentucky",Ballard County, Kentucky,100450,47030
"Barren County, Kentucky",Barren County, Kentucky,102950,47805.5
"Bath County, Kentucky",Bath County, Kentucky,71250,39389
"Bell County, Kentucky",Bell County, Kentucky,67050,33929
"Boone County, Kentucky",Boone County, Kentucky,164500,70139
"Bourbon County, Kentucky",Bourbon County, Kentucky,139950,54029.5
"Boyd County, Kentucky",Boyd County, Kentucky,98500,52117
"Boyle County, Kentucky",Boyle County, Kentucky,130700,49746.5
"Bracken County, Kentucky",Bracken County, Kentucky,90800,46559.5
"Breathitt County, Kentucky",Breathitt County, Kentucky,56200,38425.5
"Breckinridge County, Kentucky",Breckinridge County, Kentucky,87450,49010.5
"Bullitt County, Kentucky",Bullitt County, Kentucky,143200,57287
"Butler County, Kentucky",Butler County, Kentucky,94500,45398.5
"Caldwell County, Kentucky",Caldwell County, Kentucky,98100,48075
"Calloway County, Kentucky",Calloway County, Kentucky,117650,50894.5
"Campbell County, Kentucky",Campbell County, Kentucky,149150,64117.5
"Carlisle County, Kentucky",Carlisle County, Kentucky,76450,48654.5
"Carroll County, Kentucky",Carroll County, Kentucky,93650,51117.5
"Carter County, Kentucky",Carter County, Kentucky,74500,42735.5
"Casey County, Kentucky",Casey County, Kentucky,74400,36192
"Christian County, Kentucky",Christian County, Kentucky,106650,52341
"Clark County, Kentucky",Clark County, Kentucky,139800,57272
"Clay County, Kentucky",Clay County, Kentucky,59600,32485
"Clinton County, Kentucky",Clinton County, Kentucky,68000,38344
"Crittenden County, Kentucky",Crittenden County, Kentucky,77350,43782
"Cumberland County, Kentucky",Cumberland County, Kentucky,66150,34320.5
"Daviess County, Kentucky",Daviess County, Kentucky,114550,56177
"Edmonson County, Kentucky",Edmonson County, Kentucky,88900,45032.5
"Elliott County, Kentucky",Elliott County, Kentucky,68350,38307.5
"Estill County, Kentucky",Estill County, Kentucky,72400,43120
"Fayette County, Kentucky",Fayette County, Kentucky,167300,67942.5
"Fleming County, Kentucky",Fleming County, Kentucky,86400,44170
"Floyd County, Kentucky",Floyd County, Kentucky,72800,42957
"Franklin County, Kentucky",Franklin County, Kentucky,133550,62496.5
"Fulton County, Kentucky",Fulton County, Kentucky,60450,41992.5
"Gallatin County, Kentucky",Gallatin County, Kentucky,105500,49414.5
"Garrard County, Kentucky",Garrard County, Kentucky,123950,52467
"Grant County, Kentucky",Grant County, Kentucky,112000,53904
"Graves County, Kentucky",Graves County, Kentucky,93250,48141.5
"Grayson County, Kentucky",Grayson County, Kentucky,94200,41739.5
"Green County, Kentucky",Green County, Kentucky,75900,39184
"Greenup County, Kentucky",Greenup County, Kentucky,97600,51788
"Hancock County, Kentucky",Hancock County, Kentucky,104050,59104
"Hardin County, Kentucky",Hardin County, Kentucky,137200,59341
"Harlan County, Kentucky",Harlan County, Kentucky,54450,35464
"Harrison County, Kentucky",Harrison County, Kentucky,112650,47192
"Hart County, Kentucky",Hart County, Kentucky,82650,42644.5
"Henderson County, Kentucky",Henderson County, Kentucky,102800,53198.5
"Henry County, Kentucky",Henry County, Kentucky,119550,55644.5
"Hickman County, Kentucky",Hickman County, Kentucky,69300,44563.5
"Hopkins County, Kentucky",Hopkins County, Kentucky,90300,50758.5
"Jackson County, Kentucky",Jackson County, Kentucky,71450,33195
"Jefferson County, Kentucky",Jefferson County, Kentucky,148750,60717
"Jessamine County, Kentucky",Jessamine County, Kentucky,160200,64657.5
"Johnson County, Kentucky",Johnson County, Kentucky,79800,44281.5
"Kenton County, Kentucky",Kenton County, Kentucky,140450,63102.5
"Knott County, Kentucky",Knott County, Kentucky,64600,42274
"Knox County, Kentucky",Knox County, Kentucky,84450,39205.5
"Larue County, Kentucky",Larue County, Kentucky,110150,48716
"Laurel County, Kentucky",Laurel County, Kentucky,94800,44208
"Lawrence County, Kentucky",Lawrence County, Kentucky,78150,46417
"Lee County, Kentucky",Lee County, Kentucky,71350,32634.5
"Leslie County, Kentucky",Leslie County, Kentucky,59000,39555
"Letcher County, Kentucky",Letcher County, Kentucky,58600,43248.5
"Lewis County, Kentucky",Lewis County, Kentucky,65750,37801
"Lincoln County, Kentucky",Lincoln County, Kentucky,91150,43888.5
"Livingston County, Kentucky",Livingston County, Kentucky,83400,48921
"Logan County, Kentucky",Logan County, Kentucky,95200,47448.5
"Lyon County, Kentucky",Lyon County, Kentucky,135950,52739.5
"McCracken County, Kentucky",McCracken County, Kentucky,121700,53374
"McCreary County, Kentucky",McCreary County, Kentucky,60450,24273
"McLean County, Kentucky",McLean County, Kentucky,90600,49332.5
"Madison County, Kentucky",Madison County, Kentucky,136200,56355
"Magoffin County, Kentucky",Magoffin County, Kentucky,63850,40736.5
"Marion County, Kentucky",Marion County, Kentucky,98700,45604.5
"Marshall County, Kentucky",Marshall County, Kentucky,108000,49560.5
"Martin County, Kentucky",Martin County, Kentucky,68900,36124
"Mason County, Kentucky",Mason County, Kentucky,101200,51006
"Meade County, Kentucky",Meade County, Kentucky,118050,54334
"Menifee County, Kentucky",Menifee County, Kentucky,78050,39839
"Mercer County, Kentucky",Mercer County, Kentucky,132800,54115.5
"Metcalfe County, Kentucky",Metcalfe County, Kentucky,83500,38208
"Monroe County, Kentucky",Monroe County, Kentucky,70300,37801.5
"Montgomery County, Kentucky",Montgomery County, Kentucky,111250,47170.5
"Morgan County, Kentucky",Morgan County, Kentucky,77350,38465.5
"Muhlenberg County, Kentucky",Muhlenberg County, Kentucky,78500,46919.5
"Nelson County, Kentucky",Nelson County, Kentucky,131650,54626
"Nicholas County, Kentucky",Nicholas County, Kentucky,81700,46709.5
"Ohio County, Kentucky",Ohio County, Kentucky,84150,45206.5
"Oldham County, Kentucky",Oldham County, Kentucky,244000,84742
"Owen County, Kentucky",Owen County, Kentucky,97100,47333
"Owsley County, Kentucky",Owsley County, Kentucky,64050,34110
"Pendleton County, Kentucky",Pendleton County, Kentucky,97000,52632
"Perry County, Kentucky",Perry County, Kentucky,72300,45128
"Pike County, Kentucky",Pike County, Kentucky,73200,42338.5
"Powell County, Kentucky",Powell County, Kentucky,82850,46491.5
"Pulaski County, Kentucky",Pulaski County, Kentucky,99800,42481.5
"Robertson County, Kentucky",Robertson County, Kentucky,112500,47675
"Rockcastle County, Kentucky",Rockcastle County, Kentucky,76200,39581
"Rowan County, Kentucky",Rowan County, Kentucky,110500,45710.5
"Russell County, Kentucky",Russell County, Kentucky,93800,36889
"Scott County, Kentucky",Scott County, Kentucky,156500,68338
"Shelby County, Kentucky",Shelby County, Kentucky,174600,68803
"Simpson County, Kentucky",Simpson County, Kentucky,111600,53149.5
"Spencer County, Kentucky",Spencer County, Kentucky,171400,65693.5
"Taylor County, Kentucky",Taylor County, Kentucky,92450,45062.5
"Todd County, Kentucky",Todd County, Kentucky,89400,45197
"Trigg County, Kentucky",Trigg County, Kentucky,110100,50134
"Trimble County, Kentucky",Trimble County, Kentucky,108600,52386
"Union County, Kentucky",Union County, Kentucky,81650,48815.5
"Warren County, Kentucky",Warren County, Kentucky,135800,59789.5
"Washington County, Kentucky",Washington County, Kentucky,94950,48387.5
"Wayne County, Kentucky",Wayne County, Kentucky,81200,36692
"Webster County, Kentucky",Webster County, Kentucky,73900,47071.5
"Whitley County, Kentucky",Whitley County, Kentucky,76850,38280.5
"Wolfe County, Kentucky",Wolfe County, Kentucky,58150,31099.5
"Woodford County, Kentucky",Woodford County, Kentucky,179350,68355.5
"Acadia Parish, Louisiana",Acadia Parish, Louisiana,96150,52395
"Allen Parish, Louisiana",Allen Parish, Louisiana,82450,48154
"Ascension Parish, Louisiana",Ascension Parish, Louisiana,163850,71176.5
"Assumption Parish, Louisiana",Assumption Parish, Louisiana,109100,61318
"Avoyelles Parish, Louisiana",Avoyelles Parish, Louisiana,92050,43583.5
"Beauregard Parish, Louisiana",Beauregard Parish, Louisiana,108200,56338
"Bienville Parish, Louisiana",Bienville Parish, Louisiana,71300,48450
"Bossier Parish, Louisiana",Bossier Parish, Louisiana,140150,59503.5
"Caddo Parish, Louisiana",Caddo Parish, Louisiana,121150,56525
"Calcasieu Parish, Louisiana",Calcasieu Parish, Louisiana,124100,56900
"Caldwell Parish, Louisiana",Caldwell Parish, Louisiana,67050,48740.5
"Cameron Parish, Louisiana",Cameron Parish, Louisiana,116950,72712.5
"Catahoula Parish, Louisiana",Catahoula Parish, Louisiana,69350,47636
"Claiborne Parish, Louisiana",Claiborne Parish, Louisiana,75150,44154.5
"Concordia Parish, Louisiana",Concordia Parish, Louisiana,81000,42967.5
"De Soto Parish, Louisiana",De Soto Parish, Louisiana,99200,52058
"East Baton Rouge Parish, Louisiana",East Baton Rouge Parish, Louisiana,167700,65560.5
"East Carroll Parish, Louisiana",East Carroll Parish, Louisiana,50450,33002
"East Feliciana Parish, Louisiana",East Feliciana Parish, Louisiana,125450,50897.5
"Evangeline Parish, Louisiana",Evangeline Parish, Louisiana,86350,47547
"Franklin Parish, Louisiana",Franklin Parish, Louisiana,86750,45574.5
"Grant Parish, Louisiana",Grant Parish, Louisiana,85650,48223
"Iberia Parish, Louisiana",Iberia Parish, Louisiana,99200,59078
"Iberville Parish, Louisiana",Iberville Parish, Louisiana,116650,57267
"Jackson Parish, Louisiana",Jackson Parish, Louisiana,76850,51515
"Jefferson Parish, Louisiana",Jefferson Parish, Louisiana,171900,60147.5
"Jefferson Davis Parish, Louisiana",Jefferson Davis Parish, Louisiana,93100,53381
"Lafayette Parish, Louisiana",Lafayette Parish, Louisiana,162400,65411
"Lafourche Parish, Louisiana",Lafourche Parish, Louisiana,131200,60428.5
"LaSalle Parish, Louisiana",LaSalle Parish, Louisiana,76450,54750.5
"Lincoln Parish, Louisiana",Lincoln Parish, Louisiana,122800,57352
"Livingston Parish, Louisiana",Livingston Parish, Louisiana,128900,60524.5
"Madison Parish, Louisiana",Madison Parish, Louisiana,62150,39120.5
"Morehouse Parish, Louisiana",Morehouse Parish, Louisiana,82550,38356.5
"Natchitoches Parish, Louisiana",Natchitoches Parish, Louisiana,106450,54176.5
"Orleans Parish, Louisiana",Orleans Parish, Louisiana,194700,59108
"Ouachita Parish, Louisiana",Ouachita Parish, Louisiana,118250,54160.5
"Plaquemines Parish, Louisiana",Plaquemines Parish, Louisiana,162600,61622.5
"Pointe Coupee Parish, Louisiana",Pointe Coupee Parish, Louisiana,127350,58055
"Rapides Parish, Louisiana",Rapides Parish, Louisiana,123800,53601.5
"Red River Parish, Louisiana",Red River Parish, Louisiana,83000,47285.5
"Richland Parish, Louisiana",Richland Parish, Louisiana,79700,46394
"Sabine Parish, Louisiana",Sabine Parish, Louisiana,91400,53540
"St. Bernard Parish, Louisiana",St. Bernard Parish, Louisiana,126550,51722.5
"St. Charles Parish, Louisiana",St. Charles Parish, Louisiana,181050,66581.5
"St. Helena Parish, Louisiana",St. Helena Parish, Louisiana,88500,39269
"St. James Parish, Louisiana",St. James Parish, Louisiana,130500,58068
"St. John the Baptist Parish, Louisiana",St. John the Baptist Parish, Louisiana,140050,54240
"St. Landry Parish, Louisiana",St. Landry Parish, Louisiana,95900,46614.5
"St. Martin Parish, Louisiana",St. Martin Parish, Louisiana,107000,54110
"St. Mary Parish, Louisiana",St. Mary Parish, Louisiana,96050,53276
"St. Tammany Parish, Louisiana",St. Tammany Parish, Louisiana,190050,66318.5
"Tangipahoa Parish, Louisiana",Tangipahoa Parish, Louisiana,126200,51705
"Tensas Parish, Louisiana",Tensas Parish, Louisiana,61350,38192
"Terrebonne Parish, Louisiana",Terrebonne Parish, Louisiana,131900,58558.5
"Union Parish, Louisiana",Union Parish, Louisiana,95600,43387.5
"Vermilion Parish, Louisiana",Vermilion Parish, Louisiana,104200,57716.5
"Vernon Parish, Louisiana",Vernon Parish, Louisiana,103750,55039.5
"Washington Parish, Louisiana",Washington Parish, Louisiana,84800,40019
"Webster Parish, Louisiana",Webster Parish, Louisiana,83200,43826.5
"West Baton Rouge Parish, Louisiana",West Baton Rouge Parish, Louisiana,153800,69851
"West Carroll Parish, Louisiana",West Carroll Parish, Louisiana,67750,44856
"West Feliciana Parish, Louisiana",West Feliciana Parish, Louisiana,174350,69649.5
"Winn Parish, Louisiana",Winn Parish, Louisiana,76600,54445.5
"Androscoggin County, Maine",Androscoggin County, Maine,147950,57293
"Aroostook County, Maine",Aroostook County, Maine,94850,46378
"Cumberland County, Maine",Cumberland County, Maine,240100,69072
